id,question,answer,category,url
DS001,劳动仲裁收费吗？,劳动争议仲裁不收费。个案材料准备 律师代理等其他费用不属于仲裁机构收费，应另行判断。,仲裁收费,
DS002,劳动仲裁时效是多久？,劳动争议申请仲裁一般适用一年仲裁时效期间，从当事人知道或者应当知道其权利被侵害之日起计算。拖欠劳动报酬等特殊情形需要结合具体规则判断。,仲裁时效,
DS003,劳动仲裁去哪里申请？,通常向劳动合同履行地或者用人单位所在地的劳动人事争议仲裁委员会申请仲裁。实际受理窗口应以当地仲裁机构公布口径为准。,仲裁管辖,
DS004,申请劳动仲裁需要准备什么材料？,通常需要仲裁申请书 申请人身份证明 授权委托材料 证据材料和证据清单。常见证据包括劳动合同 工资流水 社保记录 考勤记录和聊天记录等。,仲裁材料,
DS005,西安市劳动仲裁总院联系方式是什么？,西安市劳动人事争议仲裁院电话为零二九八七六一零五二六，地址为西安市碑林区盐店街十八号。区县管辖请结合用工所在地确认。,西安仲裁,https://xahrss.xa.gov.cn/wsfw/ldgx/bgxz/5f509addfd850845e6f151bc.html
DS006,西安高新区劳动仲裁电话是多少？,西安市人社局公开名单显示，高新区派出庭电话为零二九八八三三三六八七，地址为高新区锦业路一号都市之门甲座一六零一室。,西安仲裁,https://xahrss.xa.gov.cn/wsfw/ldgx/bgxz/5f509addfd850845e6f151bc.html
DS007,西安市雁塔区劳动仲裁电话和地址是什么？,雁塔区劳动人事争议仲裁院电话为零二九八一一六六九五五，办公地址为雁塔区二环南路西段与朱雀大街交叉口东南角原祥源大厦一楼。,西安仲裁,https://xahrss.xa.gov.cn/wsfw/ldgx/bgxz/5f509addfd850845e6f151bc.html
DS008,西安市未央区劳动仲裁电话和地址是什么？,未央区劳动人事争议仲裁院电话为零二九八六四五二三二一，办公地址为西安市未央区政法巷十号未央大厦一楼未央区综治中心。,西安仲裁,https://xahrss.xa.gov.cn/wsfw/ldgx/bgxz/5f509addfd850845e6f151bc.html
DS009,西安市莲湖区劳动仲裁电话和地址是什么？,莲湖区劳动人事争议仲裁院电话为零二九八八六四八三零七，办公地址为西安市团结东路六号莲湖区人力资源服务中心二号楼二楼。,西安仲裁,https://xahrss.xa.gov.cn/wsfw/ldgx/bgxz/5f509addfd850845e6f151bc.html
DS010,西安经开区劳动仲裁电话和地址是什么？,经开区派出庭电话为零二九八六五二九九八一，地址为西安市经开区明光路一六六号凯瑞乙座一楼。,西安仲裁,https://xahrss.xa.gov.cn/wsfw/ldgx/bgxz/5f509addfd850845e6f151bc.html
DS011,西安浐灞国际港劳动仲裁电话和地址是什么？,浐灞国际港派出庭电话为零二九八三五九七七零四，地址为浐灞大道一号政务服务中心南二厅一楼。,西安仲裁,https://xahrss.xa.gov.cn/wsfw/ldgx/bgxz/5f509addfd850845e6f151bc.html
DS012,西咸新区劳动仲裁电话和地址是什么？,西咸新区劳动人事争议仲裁院电话为零二九三三五八五三三六，办公地址为西咸新区沣东新城沣长路二八九号创新大厦八层西侧。,西安仲裁,https://xahrss.xa.gov.cn/wsfw/ldgx/bgxz/5f509addfd850845e6f151bc.html
