id,question,answer,category,url
LB001,陕西产假多少天？,陕西职工符合政策生育子女的，在国家规定产假的基础上增加产假六十天。参加孕前检查的，在前述基础上再增加产假十天。生育三孩的，再增加产假十五天。,产假,https://www.shaanxi.gov.cn/zfxxgk/zcwjk/dfxfg/202402/t20240226_2320584.html
LB002,陕西护理假多少天？,陕西规定男方护理假一般为十五天。夫妻异地居住的，护理假为二十天。女职工生育三孩的，男方在前述基础上再增加护理假十天。,护理假,https://www.shaanxi.gov.cn/zfxxgk/zcwjk/dfxfg/202402/t20240226_2320584.html
LB003,陕西育儿假怎么休？,符合政策生育或者依法收养子女的，在子女三周岁以内，每年给予父母双方各累计十天育儿假，期间按出勤对待。,育儿假,https://www.shaanxi.gov.cn/zfxxgk/zcwjk/dfxfg/202402/t20240226_2320584.html
LB004,员工年休假能休多少天？,职工累计工作满一年不满十年的年休假五天。满十年不满二十年的十天。满二十年的十五天。国家法定休假日和休息日不计入年休假。,年休假,
LB005,哪些情况下当年不能享受年休假？,常见情形包括依法享受寒暑假且天数多于年休假 事假累计二十天以上且单位不扣工资 病假累计达到条例规定期限等。,年休假,
LB006,陕西符合法规生育的女职工可以增加多少产假？,陕西规定职工符合政策生育子女的，在国家规定产假的基础上增加产假六十天。女职工参加孕前检查的，在前述基础上再增加产假十天。,产假,https://www.shaanxi.gov.cn/zfxxgk/zcwjk/dfxfg/202402/t20240226_2320584.html
LB007,生育三孩的女职工和男方分别能多休几天？,生育三孩的，女职工在原有增加产假的基础上再增加十五天。男方在护理假基础上再增加十天护理假。,产假,https://www.shaanxi.gov.cn/zfxxgk/zcwjk/dfxfg/202402/t20240226_2320584.html
LB008,陕西男方护理假是十五天还是二十天？,一般情况下男方护理假为十五天。夫妻异地居住的，护理假为二十天。如果是三孩生育，还要在前述基础上再增加十天。,护理假,https://www.shaanxi.gov.cn/zfxxgk/zcwjk/dfxfg/202402/t20240226_2320584.html
LB009,陕西育儿假是按家庭给还是父母双方分别享有？,陕西实行父母双方分别享有的育儿假制度。在子女三周岁以内，每年给予父母双方各累计十天，不是全家共十天。,育儿假,https://www.shaanxi.gov.cn/zfxxgk/zcwjk/dfxfg/202402/t20240226_2320584.html
LB010,婚假产假护理假育儿假期间工资福利怎么算？,陕西明确，职工在婚假 产假 护理假和育儿假期间按出勤对待，享受相应工资和福利待遇。单位不应将这类假期简单按无薪假处理。,假期待遇,https://www.shaanxi.gov.cn/zfxxgk/zcwjk/dfxfg/202402/t20240226_2320584.html
LB011,女职工哺乳期间单位需要提供什么保障？,女职工生育孩子满一周岁前，单位应按规定保证哺乳时间并提供哺乳条件。因特殊情况确实无法保障的，经协商可给予三到六个月哺乳假，期间比照生育津贴标准发给津贴并计算工龄。,哺乳保护,https://www.shaanxi.gov.cn/zfxxgk/zcwjk/dfxfg/202402/t20240226_2320584.html
