id,question,answer,category,url
SS001,新员工入职后多久要办理社保？,用人单位应当自用工之日起三十日内为职工申请办理社会保险登记。试用期内也属于劳动关系存续期间，不能因为还在试用期就不参保。,社保参保,https://app.www.gov.cn/govdata/gov/201605/18/380817/article.html
SS002,陕西社保缴费基数上下限是多少？,陕西二零二五年度职工基本养老保险 失业保险 工伤保险核定个人缴费基数相关参数为九万三千零三元，上限为每月二万三千二百五十元，下限为每月四千六百五十元。回答时应注明这是二零二五年度口径。,社保基数,
SS003,员工自愿放弃社保可以吗？,不可以简单认定员工放弃社保有效。参加社会保险是用人单位和职工的法定义务，企业仅凭自愿放弃声明不能免除依法参保缴费责任。,社保风险,
SS004,陕西居民医保一年交多少钱？,二零二六年度陕西城乡居民基本医疗保险个人缴费标准为每人每年四百元，财政补助标准为每人每年七百元。集中缴费期内正常缴费更有利于完整享受下一年度待遇。,居民医保,https://ybj.shaanxi.gov.cn/sy/ybyw/sybdt/202512/t20251217_3596823.html
SS005,居民医保断缴后还能报销吗？,是否还能报销取决于是否处于待遇享受期。集中缴费期外参保或者不符合连续参保条件的人员可能存在等待期，等待期内发生的费用通常不能按居民医保待遇报销。,居民医保,
SS006,陕西医保家庭共济怎么绑定？,可通过陕西医保应用或小程序首页进入家庭共济绑定功能。阅读告知书后填写授权人和使用人信息并完成电子承诺签名即可提交绑定。,医保共济,https://ybj.shaanxi.gov.cn/sy/ybyw/sybdt/202405/t20240523_2352788.html
SS007,陕西居民医保连续参保有哪些激励？,陕西明确自二零二五年起连续参保满四年后，每连续参保一年，大病保险最高支付限额提高不低于三千元。当年未使用医保基金报销的，次年大病保险最高支付限额也提高不低于三千元。,居民医保,https://ybj.shaanxi.gov.cn/sy/ybyw/sybdt/202512/t20251217_3596823.html
SS008,陕西居民医保不连续参保等待期怎么计算？,不符合连续参保缴费条件的一般参保人员，在集中缴费期内缴费通常设置三个月固定待遇等待期。每断保一年，还会在固定等待期基础上增加一个月变动等待期。连续断缴四年及以上的，修复后仍需至少等待六个月。,居民医保,https://ybj.shaanxi.gov.cn/sy/ybyw/sybdt/202512/t20251217_3596823.html
SS009,集中缴费期外再参加陕西居民医保会怎样？,集中缴费期外参保需要严格执行等待期规则。等待期内发生的就医费用一般不纳入居民医保报销，因此单位和个人都应尽量避免断缴后再补参保。,居民医保,https://ybj.shaanxi.gov.cn/sy/ybyw/sybdt/202512/t20251217_3596823.html
SS010,陕西职工医保个人账户家庭共济可以绑定哪些亲属？,陕西规则允许职工医保个人账户授权给已参保的父母 配偶和子女使用，用于支付其在定点医药机构发生的个人负担费用。,医保共济,https://ybj.shaanxi.gov.cn/sy/ybyw/sybdt/202405/t20240523_2352788.html
SS011,陕西医保家庭共济支持省内跨市使用吗？,支持。陕西省已上线省内跨统筹区职工医保个人账户家庭共济功能，只要共济人和被共济人都在省内参保，就可以按规则办理和使用。,医保共济,https://ybj.shaanxi.gov.cn/sy/ybyw/sybdt/202405/t20240523_2352788.html
SS012,一个陕西参保人最多可以接受几位近亲属的家庭共济？,陕西现行规则下，同一个参保人可以接受两位近亲属的共济。绑定时还可以设置支付顺位，系统会按顺位扣减个人账户余额。,医保共济,https://ybj.shaanxi.gov.cn/sy/ybyw/sybdt/202405/t20240523_2352788.html
