id,question,answer,category,url
LC001,西安最低工资标准是多少？,陕西自二零二六年一月一日起执行新的最低工资标准。西安市一类区月最低工资为二千三百七十六元，二类区为二千二百五十元，具体应以员工实际工作地区县分类为准。,最低工资,https://rst.shaanxi.gov.cn/zcfg/zcfgsjk/gfxwj/ldgx/202601/t20260115_3605276.html
LC002,试用期工资可以低于最低工资吗？,不可以。试用期工资不得低于本单位相同岗位最低档工资或者劳动合同约定工资的百分之八十，并且不得低于用人单位所在地最低工资标准。,试用期,https://app.www.gov.cn/govdata/gov/201605/18/380817/article.html
LC003,最低工资是否包含加班费？,最低工资通常不应把延长工作时间工资也就是加班费计算在内。特殊工作环境津贴和法律法规规定的福利待遇也不应简单计入最低工资。,最低工资,
LC004,劳动合同最晚什么时候签？,建立劳动关系应当订立书面劳动合同。已经建立劳动关系但未同时订立书面合同的，应自用工之日起一个月内订立书面劳动合同。,劳动合同,https://app.www.gov.cn/govdata/gov/201605/18/380817/article.html
LC005,正式员工离职需要提前几天通知？,劳动者提前三十日以书面形式通知用人单位，可以解除劳动合同。试用期内提前三日通知即可解除劳动合同。,离职,
LC006,企业可以用制度规定工资扣款吗？,企业制度不得违反法律法规和最低工资等强制性规定。涉及扣款 赔偿 绩效扣减时，应有合法依据 民主程序 公示告知和证据支持。,工资扣款,
LC007,陕西调整后的最低工资标准从什么时候开始执行？,陕西省二零二六年新一轮最低工资标准自二零二六年一月一日起执行。企业计算工资 试用期工资和非全日制小时工资时，都应以新标准为底线。,最低工资,https://rst.shaanxi.gov.cn/zcfg/zcfgsjk/gfxwj/ldgx/202601/t20260115_3605276.html
LC008,陕西非全日制小时最低工资是多少？,按照陕西省二零二六年最低工资标准，一类区小时最低工资为二十三元，二类区为二十一点七元，三类区为二十点七元。非全日制用工应至少达到对应区域标准。,最低工资,https://rst.shaanxi.gov.cn/zcfg/zcfgsjk/gfxwj/ldgx/202601/t20260115_3605276.html
LC009,西安市区县最低工资标准都一样吗？,不一样。二零二六年陕西最低工资按一类区 二类区 三类区执行。西安市主城区和部分区县属于一类区，鄠邑 蓝田 周至等属于二类区，回答时需要结合实际工作地点判断。,最低工资,https://rst.shaanxi.gov.cn/zcfg/zcfgsjk/gfxwj/ldgx/202601/t20260115_3605276.html
LC010,企业能不能先试用后签劳动合同？,不能。试用期必须包含在劳动合同期限内，不存在独立的试用期合同。如果单位先试用后签合同，试用安排本身就存在合规风险。,试用期,https://app.www.gov.cn/govdata/gov/201605/18/380817/article.html
LC011,同一名员工能约定两次试用期吗？,不能。同一用人单位与同一劳动者只能约定一次试用期。企业不得以续签 转岗或延长考察为由重复约定试用期，也不得擅自延长原试用期。,试用期,https://app.www.gov.cn/govdata/gov/201605/18/380817/article.html
LC012,试用期员工可以被企业随意辞退吗？,不能。用人单位只有在能够证明劳动者存在不符合录用条件 严重违纪等法定解除情形时，才可以依法解除劳动合同并说明理由。不能证明时，随意辞退可能构成违法解除。,试用期,https://app.www.gov.cn/govdata/gov/201605/18/380817/article.html
